country,c1,c2,c3,c4,c5,c6
Sahrawi Arab Democratic Republic,#000000,#007A3D,#FFFFFF,#C4111B,#CE3A42,#DA6B71
Somaliland,#020202,#006D21,#9B9F9C,#2C2C2C,#6D6D6D,
South Ossetia,#FFFFFF,#FFDF00,#FF0000,#FF5454,#FF8238,
Taiwan,#FE0000,#000095,#FEFEFE,#6666BF,#CECEEB,#ABABDC
Transnistria,#DE0000,#009933,#6F4D1A,#FED200,#F48E00,
Europe,#003399,#FFCC00,,,,
Hong Kong,#DE2408,#FFFFFF,,,,
OECD Members,#96BA13,#086199,#AFCDDB,#6F7173,,
Europe,#003399,#FFCC00,,,,
Hong Kong,#DE2408,#FFFFFF,,,,
OECD Members,#96BA13,#086199,#AFCDDB,#6F7173,,
