,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god,positivity,anger,sad,joy
5,angola,0.644,0.224,0.0,-18.446,1.0,0.0321,0.89,0.959,0.0877,0.571,110.727,audio_features,7hrCjUIObTQcDhUe4GzkCI,spotify:track:7hrCjUIObTQcDhUe4GzkCI,https://api.spotify.com/v1/tracks/7hrCjUIObTQcDhUe4GzkCI,https://api.spotify.com/v1/audio-analysis/7hrCjUIObTQcDhUe4GzkCI,77827.0,4.0,,7hrCjUIObTQcDhUe4GzkCI,"Angola: Angola [""O Fatherland, we shall never forget the heroes of the Fourth of February…""]",Angola,angola,#CE1126,#000000,#F7D416,#97820D,#544807,#E3711E,Angola,AO,AGO,Africa,"O Fatherland, we shall never forget The heroes of the Fourth of February. O Fatherland, we salute your sons Who died for our Independence. We honour the past and our history As by our work we build the New Man. (repeat previous two lines) Forward, Angola! Revolution through the power of the People! A United Country, Freedom, One People, one Nation! Let us raise our liberated voices To the glory of the peoples of Africa. We shall march, Angolan fighters, In solidarity with oppressed peoples. We shall fight proudly for Peace Along with the progressive forces of the world. ",angola,absent,0.5333333333333333,0.0,0.0,0.3333333333333333
19,belgium,0.501,0.11,7.0,-19.043,1.0,0.0334,0.931,0.913,0.209,0.535,100.938,audio_features,7goOE7w5L6R4x8Zx4B2qvu,spotify:track:7goOE7w5L6R4x8Zx4B2qvu,https://api.spotify.com/v1/tracks/7goOE7w5L6R4x8Zx4B2qvu,https://api.spotify.com/v1/audio-analysis/7goOE7w5L6R4x8Zx4B2qvu,62813.0,3.0,,7goOE7w5L6R4x8Zx4B2qvu,"Belgium: La Brabançonne (The Song of Brabant), ""Noble Belgium, for ever a dear land…""",Belgium,belgium,#000000,#ED2939,#FAE042,,,,Belgium,BE,BEL,Europe,"O dear Belgium, O holy land of the fathers Ã¢â‚¬â€œ Our soul and our heart are devoted to you! With blood to spill for you, O fatherland! We swear with one cry Ã¢â‚¬â€œ You shall live! So gladly bloom in beauty full, Into what freedom has taught you to be, And evermore shall sing your sons: The King, the Law, the Liberty! Faithful to the word that you may speak boldly, For King, for Freedom and for Law! To Law and King and Freedom, hail! The King, the Law, the Liberty",belgium,absent,0.5217391304347826,0.0,0.043478260869565216,0.30434782608695654
20,belize,0.324,0.178,5.0,-17.776,1.0,0.0357,0.919,0.923,0.0558,0.308,87.987,audio_features,2KuAxqFIaj3IUCapI3ZVwe,spotify:track:2KuAxqFIaj3IUCapI3ZVwe,https://api.spotify.com/v1/tracks/2KuAxqFIaj3IUCapI3ZVwe,https://api.spotify.com/v1/audio-analysis/2KuAxqFIaj3IUCapI3ZVwe,68000.0,4.0,,2KuAxqFIaj3IUCapI3ZVwe,"Belize: Land of the Free, ""O Land of the Free by the Carib Sea…"" (Olympic version)",Belize,belize,#003F87,#CE1126,#D5DBD6,#2A9104,#63A55C,#D0AF4C,Belize,BZ,BLZ,North_America,"O, Land of the Free by the Carib Sea, Our manhood we pledge to thy liberty! No tyrants here linger, despots must flee This tranquil haven of democracy The blood of our sires which hallows the sod, Brought freedom from slavery, oppression's rod By the might of truth, and the grace of God, No longer shall we be hewers of wood. Arise! ye sons of the Baymen's clan, Put on your armour, clear the land! Drive back the tyrants, let despots flee - Land of the Free by the Carib Sea! Nature has blessed thee with wealth untold, O'er mountains and valleys where prairies roll; Our fathers, the Baymen, valiant and bold Drove back the invader; this heritage hold From proud Rio Hondo to old Sarstoon, Through coral isle, over blue lagoon; Keep watch with the angels, the stars and moon; For freedom comes tomorrow's noon.",belize,present,0.5,0.038461538461538464,0.07692307692307693,0.15384615384615385
21,benin,0.362,0.375,0.0,-12.762,1.0,0.039,0.501,0.941,0.11,0.414,101.325,audio_features,3FZAqRf9D0B9yaK6U6kK3m,spotify:track:3FZAqRf9D0B9yaK6U6kK3m,https://api.spotify.com/v1/tracks/3FZAqRf9D0B9yaK6U6kK3m,https://api.spotify.com/v1/audio-analysis/3FZAqRf9D0B9yaK6U6kK3m,80000.0,4.0,,3FZAqRf9D0B9yaK6U6kK3m,"Benin: L'aube nouvelle (The Dawn of a New Day), ""Formerly, at her call, our ancestors…""",Benin,benin,#008751,#FCD116,#E8112D,,,,Benin,BJ,BEN,Africa,"Long ago, at their call, our ancestors, without weakness, Succeeded with courage, passion, full of happiness To deliver at the price of the blood of vivid battles. Hasten yourselves as well, builders of the present Stronger in unity, toiling everyday, For posterity, build tirelessly.  Children of Benin, arise! Sound the cry of freedom Sing at the first light of dawn; Children of Benin, arise!   When the wind blows anger and hatred everywhere. People of Benin, be proud, and of calm soul, Trusting in the future, behold your flag! In the green you will read the hope of renewal, In your ancestors red evokes courage; The yellow is a portent of the richest treasures.    Your sunny mountains, your palm trees, your greenery Dear Benin, your brightness is everywhere. Your soil offers each person the richest of fruits. Benin, may your united sons from henceforth In a brotherly spirit share the hope Of seeing you happy in abundance forever. ",benin,absent,0.6363636363636364,0.045454545454545456,0.045454545454545456,0.45454545454545453
22,bermuda,0.372,0.158,5.0,-16.936,1.0,0.0377,0.803,0.887,0.219,0.381,89.147,audio_features,5FuQ1wUveHPYAxHmqAiutP,spotify:track:5FuQ1wUveHPYAxHmqAiutP,https://api.spotify.com/v1/tracks/5FuQ1wUveHPYAxHmqAiutP,https://api.spotify.com/v1/audio-analysis/5FuQ1wUveHPYAxHmqAiutP,56120.0,4.0,,5FuQ1wUveHPYAxHmqAiutP,Bermuda: Hail to Bermuda (short version),Bermuda,bermuda,,,,,,,Bermuda,BM,BMU,North_America,"Hail to Bermuda, My island in the sun. Sing out in glory To the nation we've become. We've grown from heart to heart, And strength to strength, The privilege is mine To sing long live Bermuda, Because this island's mine! Hail to Bermuda, My homeland dear to me. This is my own land Built on faith And unity. We've grown from heart to heart And strength to strength, For Loyalty is Prime So sing long live Bermuda, Because this island's mine!",bermuda,absent,0.5925925925925926,0.0,0.037037037037037035,0.4074074074074074
23,bhutan,0.186,0.186,10.0,-15.991,1.0,0.0391,0.263,0.929,0.13,0.412,87.806,audio_features,6n28Uuqq0oP4Dv4ekTXcBI,spotify:track:6n28Uuqq0oP4Dv4ekTXcBI,https://api.spotify.com/v1/tracks/6n28Uuqq0oP4Dv4ekTXcBI,https://api.spotify.com/v1/audio-analysis/6n28Uuqq0oP4Dv4ekTXcBI,59000.0,4.0,,6n28Uuqq0oP4Dv4ekTXcBI,"Bhutan: Druk tsendhen (The Thunder Dragon), ""In the Thunder Dragon Kingdom…"" [2005 arrangement]",Bhutan,bhutan,#FFD520,#FF4E12,#F3F3F3,#D4B8AD,#E6734C,#E5CC5D,Bhutan,BT,BTN,Asia,"In the Kingdom of Bhutan adorned with cypress trees, The Protector who reigns over the realm of spiritual and secular traditions, He is the King of Bhutan, the precious sovereign. May His being remain unchanging, and the Kingdom prosper, May the teachings of the Enlightened One flourish, May the sun of peace and happiness shine over all people.",bhutan,absent,0.7250000000000001,0.0,0.025,0.5
24,bolivia,0.584,0.201,0.0,-17.486,1.0,0.0435,0.925,0.957,0.34,0.605,119.722,audio_features,22wshf60YN1Lg1ClrN93tr,spotify:track:22wshf60YN1Lg1ClrN93tr,https://api.spotify.com/v1/tracks/22wshf60YN1Lg1ClrN93tr,https://api.spotify.com/v1/audio-analysis/22wshf60YN1Lg1ClrN93tr,87800.0,4.0,,22wshf60YN1Lg1ClrN93tr,"Bolivia: Canción Patriótica (Patriotic Song), ""Bolivians, a favourable destiny…""",Bolivia,bolivia,#D52B1E,#007934,#FFE000,#F0A40A,#ABBE11,#A46021,Bolivia,BO,BOL,South_America,"Bolivians: favourable destiny Crowned our votes and desires It is now free, this land is now free And now its servile condition has ended From the military uproar that was yesterday And from the cry of the terrible war Today follow, in peaceful contrast Sweet hymns of peace and union Today follow, in peaceful contrast Sweet hymns of peace and union   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!   Eternal praise to the brave warriors Whose heroic courage and determination Won the glories that today Bolivia happily begins to enjoy May their names, in marble and bronze, Be transmitted to future ages And in resounding song repeat: Freedom, freedom, freedom! And in resounding song repeat: Freedom, freedom, freedom!   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves! Here justice set up its throne That does not recognise vile oppression And in its glorious stamp let us rejoice Freedom, freedom, freedom This innocent and beautiful land That has its name because of Bolívar 1 It is the happy homeland where man Enjoys good fortune and peace It is the happy homeland where man Enjoys good fortune and peace   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!   If a foreign power one day Tries to subjugate Bolivia Let it be prepared for the fatal destiny That threatens the arrogant invader Let the sons of the great Bolívar Have sworn a thousand times over: To die before seeing the majestic banner Of the homeland lowered To die before seeing the majestic banner Of the homeland lowered   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!",bolivia,absent,0.4651162790697675,0.011627906976744186,0.03488372093023256,0.22093023255813954
25,bosnia and herzegovina,0.201,0.438,0.0,-13.27,1.0,0.0351,0.909,0.88,0.261,0.266,99.352,audio_features,1zD33DhCqOj3qQHvFiFqYF,spotify:track:1zD33DhCqOj3qQHvFiFqYF,https://api.spotify.com/v1/tracks/1zD33DhCqOj3qQHvFiFqYF,https://api.spotify.com/v1/audio-analysis/1zD33DhCqOj3qQHvFiFqYF,80653.0,4.0,,1zD33DhCqOj3qQHvFiFqYF,Bosnia and Herzegovina: Državna himna Bosne i Hercegovine (The National Anthem of Bosnia and Herzegovina) [1999 onwards] [Olympic version],Bosnia and Herzegovina,bosnia and herzegovina,#002395,#FECB00,#FDFDFE,#97A6D4,#7F774A,#6177BD,Bosnia and Herzegovina,BA,BIH,Europe,"You're the light of the soul Eternal fire's flame Mother of ours, o land of Bosnia I belong to you The beautiful blue sky Of Herzegovina In the heart are your rivers Your mountains Proud and famous Land of ancestors You shall live in our hearts Ever more Generations of yours Show up as one We go into the future Together!",bosnia and herzegovina,absent,0.28409090909090906,0.13636363636363635,0.07954545454545456,0.1590909090909091
26,botswana,0.502,0.221,0.0,-16.798,1.0,0.0265,0.592,0.922,0.0806,0.756,51.679,audio_features,7bc84oCI9dwdNb9zMAx1Lk,spotify:track:7bc84oCI9dwdNb9zMAx1Lk,https://api.spotify.com/v1/tracks/7bc84oCI9dwdNb9zMAx1Lk,https://api.spotify.com/v1/audio-analysis/7bc84oCI9dwdNb9zMAx1Lk,84520.0,4.0,,7bc84oCI9dwdNb9zMAx1Lk,"Botswana: ""Blessed be this noble land…""",Botswana,botswana,#75AADB,#000000,#FFFFFF,#AAAAAA,#BAD5ED,,Botswana,BW,BWA,Africa,"Blessed be this noble land, Gift to us from God's strong hand, Heritage our fathers left to us, May it always be at peace. Awake, awake, O men, awake! And women close beside them stand, Together we'll work and serve This land, this happy land! Word of beauty and of fame, The name Botswana to us came. Through our unity and harmony, We'll remain at peace as one. ",botswana,present,0.7272727272727273,0.0,0.0,0.36363636363636365
27,brazil,0.473,0.14,10.0,-18.378,1.0,0.0388,0.819,0.227,0.359,0.523,122.838,audio_features,5yyBDd13Zb7eoVT86NPhO2,spotify:track:5yyBDd13Zb7eoVT86NPhO2,https://api.spotify.com/v1/tracks/5yyBDd13Zb7eoVT86NPhO2,https://api.spotify.com/v1/audio-analysis/5yyBDd13Zb7eoVT86NPhO2,85027.0,4.0,,5yyBDd13Zb7eoVT86NPhO2,"Brazil: Hino Nacional Brasilerio (National Anthem of Brazil), ""There was heard…"" [Olympic version]",Brazil,brazil,#009B3A,#FDDF00,#012876,#61B125,#304F90,#6FC790,Brazil,BR,BRA,South_America,"The placid shores of the Ipiranga heard the resounding shout of a heroic folk And the sun of Liberty in shining beams shone in the homeland's sky at that instant If the pledge of this equality we managed to conquer with strong arm In thy bosom, O Freedom, our chest defies death itself! O beloved, idolized homeland, Hail, hail! Brazil, an intense dream, a vivid ray of love and hope descends to earth If in thy beautiful, smiling and limpid sky the image of the (Southern) Cross blazes. Giant by thine own nature Thou art beautiful, strong, a fearless colossus And thy future mirrors that greatness Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground Thou art kind mother Beloved homeland, Brazil Eternally lying on splendid cradle to the sound of sea and under deep sky light Thou flashest, Brazil, crocket of America, illuminated by the sun of New World Than the more garish land, thy smiling, pretty prairies have more flowers ""Our groves have more life"" ""Our life"" in thy bosom ""more loves"" O beloved, idolized homeland, hail, hail! Brazil, of eternal love be a symbol the starred labarum which thou displayst And say the laurel-green of this pennant ""Peace in the future and glory in the past"" But if thou raisest the strong mace of justice, see that a son of thine flees not from battle, nor do those who love thee fear their own death Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground thou art kind mother Beloved homeland, Brazil",brazil,absent,0.6000000000000001,0.0,0.0,0.6
28,brunei,0.234,0.178,5.0,-15.813,1.0,0.0321,0.849,0.906,0.2,0.226,92.024,audio_features,5hF1YJIt7VrpAvSifRpMyp,spotify:track:5hF1YJIt7VrpAvSifRpMyp,https://api.spotify.com/v1/tracks/5hF1YJIt7VrpAvSifRpMyp,https://api.spotify.com/v1/audio-analysis/5hF1YJIt7VrpAvSifRpMyp,90520.0,3.0,,5hF1YJIt7VrpAvSifRpMyp,"Brunei: Allah Peliharakan Sultan, ""Oh God, long live our Majesty the Sultan""",Brunei,brunei,#F7E017,#FFFFFF,#010000,#CF1226,#E2751F,#DE5A68,Brunei,BN,BRN,Asia,"O Divine One, a long life consign Upon His Majesty our King, fine Help him rule thy dominion wise The gates to eternal joy he shall prise Serene be both country and sultan God save our land Brunei Darussalam",brunei,present,0.40476190476190477,0.047619047619047616,0.0,0.21428571428571427
29,bulgaria,0.236,0.239,9.0,-17.911,0.0,0.0369,0.45,0.825,0.378,0.32,123.397,audio_features,1RxHKS9Wm2bQrskxpE8mSq,spotify:track:1RxHKS9Wm2bQrskxpE8mSq,https://api.spotify.com/v1/tracks/1RxHKS9Wm2bQrskxpE8mSq,https://api.spotify.com/v1/audio-analysis/1RxHKS9Wm2bQrskxpE8mSq,81013.0,3.0,,1RxHKS9Wm2bQrskxpE8mSq,"Bulgaria: Mila Rodino (Dear Homeland), ""Proudly rise the Balkan peaks…"" [2005 arrangement]",Bulgaria,bulgaria,#FFFFFF,#D62612,#00966E,#47714F,#54B99E,,Bulgaria,BG,BGR,Europe,"Proud Balkan Mountains, next to it the Danube sparkles, the sun shines over Thrace, and blazes over Pirin. Dear Motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless Countless fighters died, for our beloved people, mother, give us manly strength to continue their path Dear Motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless Together, Bulgarian brothers! Moscow is with us in peace and war! A great party leads Our victorious society",bulgaria,absent,0.48837209302325585,0.023255813953488372,0.046511627906976744,0.23255813953488372
30,burkina faso,0.182,0.176,5.0,-19.792,1.0,0.0405,0.967,0.942,0.0737,0.117,91.67,audio_features,3hDVaDXftzD1Fv1y9gXsHT,spotify:track:3hDVaDXftzD1Fv1y9gXsHT,https://api.spotify.com/v1/tracks/3hDVaDXftzD1Fv1y9gXsHT,https://api.spotify.com/v1/audio-analysis/3hDVaDXftzD1Fv1y9gXsHT,86120.0,3.0,,3hDVaDXftzD1Fv1y9gXsHT,"Burkina Faso: Le Ditanyè (Anthem of the Victory), ""Against the humiliating bondage…"" [Olympic version]",Burkina Faso,burkina faso,#009E49,#EF2B2D,#FCD116,#F89B1D,#8EBB2C,,Burkina Faso,BF,BFA,Africa,"Against the humiliating bondage of a thousand years Rapacity came from afar to subjugate them for a hundred years. Against the cynical malice in the shape Of neo-colonialism and its petty local servants. Many gave in and certain others resisted. But the frustrations, the successes, the sweat, the blood Have fortified our courageous people and fertilized its heroic struggle. And one single night has drawn together The history of an entire people, And one single night has launched its triumphal march. Towards the horizon of good fortune. One single night has brought together our people With all the peoples of the World, In the acquisition of liberty and progress. Motherland or death, we shall conquer. Nourished in the lively source of the Revolution, The volunteers for liberty and peace With their nocturnal and beneficial energies of the 4th of August Had not only hand arms, but also and above all The flame in their hearts lawfully to free Faso forever from the fetters of those who Here and there were polluting the sacred soul of independence and sovereignty. And seated henceforth in rediscovered dignity, Love and honour partnered with humanity, The people of Burkina sing a victory hymn To the glory of the work of liberation and emancipation. Down with exploitation of man by man! Forward for the good of every man By all men of today and tomorrow, by every man here and always! Popular revolution our nourishing sap. Undying motherhood of progress in the face of man. Eternal hearth of agreed democracy, Where at last national identity has the right of freedom. Where injustice has lost its place forever, And where from the hands of builders of a glorious world Everywhere the harvests of patriotic vows ripen and suns of boundless joy shine.",burkina faso,absent,0.5555555555555556,0.0,0.0,0.2222222222222222
31,burundi,0.448,0.102,5.0,-18.434,0.0,0.0325,0.943,0.892,0.0936,0.352,128.002,audio_features,3O5gzg9Yo02Qwgt4aaQ8QC,spotify:track:3O5gzg9Yo02Qwgt4aaQ8QC,https://api.spotify.com/v1/tracks/3O5gzg9Yo02Qwgt4aaQ8QC,https://api.spotify.com/v1/audio-analysis/3O5gzg9Yo02Qwgt4aaQ8QC,143693.0,4.0,,3O5gzg9Yo02Qwgt4aaQ8QC,"Burundi: ""Beloved Burundi, gentle country…""",Burundi,burundi,#1EB53A,#FFFFFF,#CE1126,#D8EEDA,#5CC870,#DD5867,Burundi,BI,BDI,Africa,"Our Burundi, gentle country, Take your place in the concert of nations, Acceding to independence with honourable intentions. Wounded and bruised, you have remained master of yourself. When the hour came, you arose, Lifting yourself proudly into the ranks of free peoples. Receive, then, the congratulations of the nations And the homage of your sons and daughters. May your name ring out through the universe. Our Burundi, sacred heritage from our forefathers, Recognized as worthy of self-government, With your courage you also have a sense of honour. Sing the glory of liberty conquered again. Our Burundi, worthy of our tenderest love, We vow to your noble service our hands and hearts and lives. May God, who gave you to us, keep you for us to venerate, Under the shield of unity, In peace, joy and prosperity.",burundi,present,0.25,0.0,0.0,0.1875
32,cambodia,0.189,0.123,5.0,-16.259,1.0,0.032,0.874,0.912,0.109,0.347,99.25,audio_features,670dxFo13rtkt0RvOyP1qy,spotify:track:670dxFo13rtkt0RvOyP1qy,https://api.spotify.com/v1/tracks/670dxFo13rtkt0RvOyP1qy,https://api.spotify.com/v1/audio-analysis/670dxFo13rtkt0RvOyP1qy,127800.0,4.0,,670dxFo13rtkt0RvOyP1qy,"Cambodia: Nokoreach (National Anthem), ""Heaven protects our King…""",Cambodia,cambodia,#032EA1,#E00025,#A49FA0,#767273,#A05964,#752A37,Cambodia,KH,KHM,Asia,"Heaven protects our King And gives him happiness and glory To reign over our souls and our destinies, The one being, heir of the Sovereign builders, Guiding the proud old Kingdom. Temples are asleep in the forest, Remembering the splendour of Moha Nokor. Like a rock the Khamer race is eternal. Let us trust in the fate of Campuchea, The empire which challenges the ages. Songs rise up from the pagodas To the glory of holy buddhistic faith. Let us be faithful to our ancestors' belief. Thus heaven will lavish its bounty Towards the ancient Khmer country, the Moha Nokor. ",cambodia,present,0.6842105263157894,0.0,0.0,0.42105263157894735
33,cameroon,0.56,0.193,10.0,-14.546,1.0,0.0311,0.894,0.835,0.178,0.876,101.507,audio_features,4Tem0Yd4m5lcv2eAZEY6t0,spotify:track:4Tem0Yd4m5lcv2eAZEY6t0,https://api.spotify.com/v1/tracks/4Tem0Yd4m5lcv2eAZEY6t0,https://api.spotify.com/v1/audio-analysis/4Tem0Yd4m5lcv2eAZEY6t0,61600.0,4.0,,4Tem0Yd4m5lcv2eAZEY6t0,"Cameroon: Ô Cameroun, berceau de nos ancêtres (O Cameroon, Cradle of our Forefathers), ""O Cameroon cradle of our ancestors…""",Cameroon,cameroon,#FCD116,#007A5E,#CE1126,#E6761E,,,Cameroon,CM,CMR,Africa,"O Cameroon, Thou Cradle of our Fathers, Holy Shrine where in our midst they now repose, Their tears and blood and sweat thy soil did water, On thy hills and valleys once their tillage rose. Dear Fatherland, thy worth no tongue can tell! How can we ever pay thy due? Thy welfare we will win in toil and love and peace, Will be to thy name ever true! Land of Promise, land of Glory! Thou, of life and joy, our only store! Thine be honour, thine devotion, And deep endearment, for evermore. From Shari, from where the Mungo meanders From along the banks of lowly Boumba Stream, Muster thy sons in union close around thee, Mighty as the Buea Mountain be their team; Instil in them the love of gentle ways, Regret for errors of the past; Foster, for Mother Africa, a loyalty That true shall remain to the last.",cameroon,absent,0.31,0.13,0.08,0.16
34,canada,0.174,0.0813,3.0,-18.202,1.0,0.0371,0.896,0.931,0.168,0.0411,119.075,audio_features,0g8VSwMjVHjA5BZHZfrGUI,spotify:track:0g8VSwMjVHjA5BZHZfrGUI,https://api.spotify.com/v1/tracks/0g8VSwMjVHjA5BZHZfrGUI,https://api.spotify.com/v1/audio-analysis/0g8VSwMjVHjA5BZHZfrGUI,107200.0,3.0,,0g8VSwMjVHjA5BZHZfrGUI,"Canada: ""O Canada! Our home and native land!…"" (slow version)",Canada,canada,#FF0000,#FFFFFF,#FFD0D0,#FF9191,#FF2C2C,#FF5050,Canada,CA,CAN,North_America,"O Canada! Our home and native land! True patriot love thou dost in us command. We see thee rising fair, dear land, The True North, strong and free; And stand on guard, O Canada, We stand on guard for thee. O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. O Canada! Where pines and maples grow, Great prairies spread and lordly rivers flow, How dear to us thy broad domain, From East to Western sea! Thou land of hope for all who toil! Thou True North, strong and free! O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. O Canada! Beneath thy shining skies May stalwart sons and gentle maidens rise, To keep thee steadfast through the years From East to Western sea, Our own beloved native land, Our True North, strong and free! O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. Ruler Supreme, Who hearest humble prayer, Hold our dominion within Thy loving care. Help us to find, O God, in Thee A lasting, rich reward, As waiting for the Better Day, We ever stand on guard. O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee.",canada,present,0.43333333333333335,0.0,0.06666666666666667,0.26666666666666666
35,cape verde,0.195,0.155,7.0,-15.889,1.0,0.0317,0.875,0.917,0.207,0.331,100.718,audio_features,7s6gIQpbNWn4f54AGrmv06,spotify:track:7s6gIQpbNWn4f54AGrmv06,https://api.spotify.com/v1/tracks/7s6gIQpbNWn4f54AGrmv06,https://api.spotify.com/v1/audio-analysis/7s6gIQpbNWn4f54AGrmv06,99280.0,1.0,,7s6gIQpbNWn4f54AGrmv06,"Cape Verde: Cântico da Liberdade (Song of Freedom), ""Sing, brother sing…""",Cape Verde,cape verde,#003893,#FFFFFF,#CF2027,#DF696E,#F5D017,#B5A838,Cape Verde,CV,CPV,Africa,"Sing, brother Sing, my brother For Liberty is a hymn And Man the certainty. With dignity, bury The seed In the dust of the naked island At the escarpment of life Hope is as big as The sea Which embraces us Sentinel of the oceans and winds Persevering Between the stars and the Atlantic Intone the Chant of Liberty. Sing, brother Sing, my brother For Liberty is a hymn And Man the certainty.",cape verde,absent,0.5625,0.09375,0.09375,0.28125
37,central african republic,0.354,0.205,0.0,-15.091,1.0,0.032,0.879,0.931,0.0828,0.407,93.595,audio_features,6wAgdQ4x74ObJM3kmfVLoJ,spotify:track:6wAgdQ4x74ObJM3kmfVLoJ,https://api.spotify.com/v1/tracks/6wAgdQ4x74ObJM3kmfVLoJ,https://api.spotify.com/v1/audio-analysis/6wAgdQ4x74ObJM3kmfVLoJ,84933.0,4.0,,6wAgdQ4x74ObJM3kmfVLoJ,"Central African Republic: La Renaissance (The Rebirth), ""Oh! Central Africa…""",Central African Republic,central african republic,#FFCE00,#FFFFFF,#289728,#003082,#D21034,#CDAF1A,Central African Republic,CF,CAF,Africa,"Oh! Central Africa, cradle of the Bantu! Take up again your right to respect, to life! Long subjugated, long scorned by all, But, from today, breaking tyranny's hold. Through work, order and dignity You reconquer your rights, your unity, And to take this new step The voice of our ancestors call us. To work! In order and dignity, In the respect for rights and in unity, Breaking poverty and tyranny, Holding high the flag of the Fatherland.",central african republic,absent,0.30357142857142855,0.03571428571428571,0.03571428571428571,0.14285714285714285
38,chad,0.633,0.187,10.0,-17.917,1.0,0.0456,0.896,0.911,0.172,0.479,108.321,audio_features,59HrvgIEwqqPy5YJ2hACWK,spotify:track:59HrvgIEwqqPy5YJ2hACWK,https://api.spotify.com/v1/tracks/59HrvgIEwqqPy5YJ2hACWK,https://api.spotify.com/v1/audio-analysis/59HrvgIEwqqPy5YJ2hACWK,79853.0,4.0,,59HrvgIEwqqPy5YJ2hACWK,"Chad: La Tchadienne (The Song of Chad), ""Oh, my Country, may God protect you…""",Chad,chad,#FECB00,#002664,#C60C30,,,,Chad,TD,TCD,Africa,"People of Chad, arise and to work! You have conquered the soil and won your rights; Your freedom will be born of your courage. Lift up your eyes, the future is yours. O my Country, may God protect you, May your neighbors admire your children. Joyful, peaceful, advance as you sing, Faithful to your fathers who are watching you. People of Chad, arise and to work! You have conquered the soil and won your rights; Your freedom will be born of your courage. Lift up your eyes, the future is yours.",chad,present,0.2936507936507936,0.07936507936507936,0.12698412698412698,0.15079365079365079
61,eritrea,0.497,0.231,5.0,-14.776,1.0,0.0278,0.827,0.961,0.155,0.651,83.477,audio_features,4c9Kt9NDrVoYkZqEV5kqez,spotify:track:4c9Kt9NDrVoYkZqEV5kqez,https://api.spotify.com/v1/tracks/4c9Kt9NDrVoYkZqEV5kqez,https://api.spotify.com/v1/audio-analysis/4c9Kt9NDrVoYkZqEV5kqez,68613.0,4.0,,4c9Kt9NDrVoYkZqEV5kqez,"Eritrea: ""Eritrea, Eritrea, Eritrea, her sacrifices, rewarded by freedom…"" (arr. P. Breiner)",Eritrea,eritrea,#EA0437,#12AD2B,#4189DD,#F25130,#F9902B,#A63979,Eritrea,ER,ERI,Africa,"Eritrea, Eritrea, Eritrea, Her Nemesis destroyed while wailing, her sacrifices vindicated by freedom. Forever firm in her principles, her name became a synonym of tenacity, Eritrea, the pride of the oppressed, is a testament that truth prevails. Eritrea, Eritrea, has taken her rightful place in the world. The supreme dedication that brought us freedom, will serve to rebuild her and develop her, We shall honor her with progress, It is our legacy to crown her. Eritrea, Eritrea, has taken her rightful place in the world.",eritrea,absent,0.4473684210526315,0.13157894736842105,0.15789473684210525,0.3157894736842105
62,estonia,0.373,0.0424,0.0,-19.627,1.0,0.0475,0.937,0.847,0.0584,0.386,87.174,audio_features,2odDshmc0MMPdEKohU3YX7,spotify:track:2odDshmc0MMPdEKohU3YX7,https://api.spotify.com/v1/tracks/2odDshmc0MMPdEKohU3YX7,https://api.spotify.com/v1/audio-analysis/2odDshmc0MMPdEKohU3YX7,67840.0,3.0,,2odDshmc0MMPdEKohU3YX7,"Estonia: ""My native land, my joy, delight…""",Estonia,estonia,#FFFFFF,#4891D9,#000000,#545454,#183048,,Estonia,EE,EST,Europe,"My fatherland, my joy and happiness, How beautiful you are! I shall not find such ever In this huge wide world Which would be so dear to me As you, my fatherland! You have given me birth And raised me up; I shall thank you always And remain faithful to you until death, To me most beloved are you, My precious fatherland! May God watch over you, My precious fatherland! Let Him be your defender And provide bountiful blessings For whatever you undertake, My precious fatherland!",estonia,present,0.42857142857142855,0.0,0.0,0.14285714285714285
